,Restaurant,Latitude,Longitude,URL
30,Healthy to Go - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/healthy-to-go-ust-available-for-long-distance-delivery-delivery/2-CYVAEUXXRVECLX
31,Ichiban1 Yakitori - M.V. Delos Santos [Available for LONG-DISTANCE DELIVERY],14.6033995,120.990694,https://food.grab.com/ph/en/restaurant/ichiban1-yakitori-m-v-delos-santos-available-for-long-distance-delivery-delivery/2-C2JZJ2WTNT2JRT
32,Joni's Grill - Delos Santos Street [Available for LONG-DISTANCE DELIVERY],14.6033922,120.9907382,https://food.grab.com/ph/en/restaurant/joni-s-grill-delos-santos-street-available-for-long-distance-delivery-delivery/2-C23ZN7JJTCNECN
33,Kanto Freestyle Breakfast - Manila [Available for LONG-DISTANCE DELIVERY],14.6123967,120.9880034,https://food.grab.com/ph/en/restaurant/kanto-freestyle-breakfast-manila-available-for-long-distance-delivery-delivery/2-CZMTGJ21G8NUNA
34,Hideout Tea and Coffee House - UST [Available for LONG-DISTANCE DELIVERY],14.612301145437982,120.98814000000176,https://food.grab.com/ph/en/restaurant/hideout-tea-and-coffee-house-ust-available-for-long-distance-delivery-delivery/2-C2NUTFKWPFEHDA
35,Rhian Ramos' Healthy Appetite - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/rhian-ramos-healthy-appetite-ust-available-for-long-distance-delivery-delivery/2-C2NVLYAAG6XVRT
36,Shark's Bistro - Padre Noval Street,14.608230500022898,120.98789516451028,https://food.grab.com/ph/en/restaurant/shark-s-bistro-padre-noval-street-delivery/2-C2MBC62FA7MDA2
37,Bulalugaw Express - Earnshaw Suites [Available for LONG-DISTANCE DELIVERY],14.6096033,120.9933591,https://food.grab.com/ph/en/restaurant/bulalugaw-express-earnshaw-suites-available-for-long-distance-delivery-delivery/2-CY3UWALJANXHBE
38,Tiger Winx - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.612757749547498,120.987815849583,https://food.grab.com/ph/en/restaurant/tiger-winx-sampaloc-available-for-long-distance-delivery-delivery/2-C2MBGPVAN6KDEX
39,24/7 Eats - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/24-7-eats-ust-available-for-long-distance-delivery-delivery/2-C2AGSFEVLYUELE
